2,0000000000001000000000000,0,0
2,2000000000001100000000000,3,3
2,2000000010001100002000000,1,1
2,2000002011001100002000000,0,1
2,2200002011001100012000000,0,2
2,2220002011001100012010000,0,3
2,2222002011001101012010000,0,4
2,2222202011001101012110000,1,0
2,2222222111001101012110000,2,0
2,0000000111011101012110000,0,0
2,2001000111011101012110000,0,1
2,2201100111011101012110000,0,2
1,0000000000000000000000000,2,4
1,0000002000000010000000000,2,3
1,0000202000000110000000000,1,2
1,0000202102000110000000000,0,0
1,1002202102000110000000000,0,1
1,1102202102000110000002000,0,2
1,1112202102000110200002000,1,0
1,1112212102000110200002200,1,3
1,1110212110000110200002200,0,3
1,1111212110000110220002200,1,4
1,1111012111200110220002200,0,4
1,1111112111202110220002200,2,1
